Exon	Gene	HUGO	ExonNumber	PairwiseTissue	TissueSpecificity
ENSE00001154202	ENSG00000171004	HS6ST2	10	brain2colon, brain2heart, brain2kidney, brain2liver, brain2muscle, brain2pancreas, brain2skeletalMuscle, brain2spleen, brain2testis, brain2thyroid	brain
ENSE00001154195	ENSG00000171004	HS6ST2	10	brain2colon, brain2heart, brain2kidney, brain2liver, brain2muscle, brain2pancreas, brain2skeletalMuscle, brain2spleen, brain2testis, brain2thyroid	brain
ENSE00001403635	ENSG00000077264	PAK3	22	brain2colon, brain2heart, brain2kidney, brain2liver, brain2muscle, brain2pancreas, brain2skeletalMuscle, brain2spleen, brain2testis, brain2thyroid	brain
ENSE00000619140	ENSG00000112658	SRF	6	brain2colon, colon2heart, colon2kidney, colon2liver, colon2muscle, colon2pancreas, colon2skeletalMuscle, colon2spleen, colon2testis, colon2thyroid	colon
ENSE00001162388	ENSG00000079385	CEACAM1	15	brain2colon, colon2heart, colon2kidney, colon2liver, colon2muscle, colon2pancreas, colon2skeletalMuscle, colon2spleen, colon2testis, colon2thyroid	colon
ENSE00001068626	ENSG00000198216	CACNA1E	52	brain2heart, colon2heart, heart2kidney, heart2liver, heart2muscle, heart2pancreas, heart2skeletalMuscle, heart2spleen, heart2testis, heart2thyroid	heart
ENSE00001482042	ENSG00000123737	EXOSC9	13	brain2heart, colon2heart, heart2kidney, heart2liver, heart2muscle, heart2pancreas, heart2skeletalMuscle, heart2spleen, heart2testis, heart2thyroid	heart
ENSE00001303242	ENSG00000151067	CACNA1C	99	brain2heart, colon2heart, heart2kidney, heart2liver, heart2muscle, heart2pancreas, heart2skeletalMuscle, heart2spleen, heart2testis, heart2thyroid	heart
ENSE00001075698	ENSG00000160856	FCRL3	20	brain2kidney, colon2kidney, heart2kidney, kidney2liver, kidney2muscle, kidney2pancreas, kidney2skeletalMuscle, kidney2spleen, kidney2testis, kidney2thyroid	kidney
ENSE00001019167	ENSG00000155097	ATP6V1C1	13	brain2kidney, colon2kidney, heart2kidney, kidney2liver, kidney2muscle, kidney2pancreas, kidney2skeletalMuscle, kidney2spleen, kidney2testis, kidney2thyroid	kidney
ENSE00001214965	ENSG00000072518	MARK2	21	brain2kidney, colon2kidney, heart2kidney, kidney2liver, kidney2muscle, kidney2pancreas, kidney2skeletalMuscle, kidney2spleen, kidney2testis, kidney2thyroid	kidney
ENSE00001475182	ENSG00000072518	MARK2	21	brain2kidney, colon2kidney, heart2kidney, kidney2liver, kidney2muscle, kidney2pancreas, kidney2skeletalMuscle, kidney2spleen, kidney2testis, kidney2thyroid	kidney
ENSE00000864978	ENSG00000072518	MARK2	21	brain2kidney, colon2kidney, heart2kidney, kidney2liver, kidney2muscle, kidney2pancreas, kidney2skeletalMuscle, kidney2spleen, kidney2testis, kidney2thyroid	kidney
ENSE00001384043	ENSG00000151704	KCNJ1	7	brain2kidney, colon2kidney, heart2kidney, kidney2liver, kidney2muscle, kidney2pancreas, kidney2skeletalMuscle, kidney2spleen, kidney2testis, kidney2thyroid	kidney
